university,level,source_images,saved_board
"City University, London",Bachelors,city-university-bachelors-graduation-set-1.jpg,"templates/City University, London/Bachelors/board.png"
Courtauld Institute of Art,Masters,university-of-london-masters-graduation-set-1.jpg,templates/Courtauld Institute of Art/Masters/board.png
Courtauld Institute of Art,Bachelors,university-of-london-bachelors-graduation-set-1.jpg,templates/Courtauld Institute of Art/Bachelors/board.png
Cumbria University,Masters,cumbria-masters-graduation-set-1.png,templates/Cumbria University/Masters/board.png
Cumbria University,Bachelors,university-of-cumbria-bachelor-graduation-set-1.jpg,templates/Cumbria University/Bachelors/board.png
DBS Institute,Masters,dbs-institute-masters-graduation-set-1.jpg,templates/DBS Institute/Masters/board.png
DBS Institute,Bachelors,dbs-institute-bachelors-graduation-set-1.jpg,templates/DBS Institute/Bachelors/board.png
Derby University,Masters,university-of-derby-postgraduate-diploma-and-certificate-graduation-set-1.jpg,templates/Derby University/Masters/board.png
Derby University,Bachelors,university-of-derby-bachelors-graduation-set-1.jpg,templates/Derby University/Bachelors/board.png
Dundee University,Masters,dundee-university-masters-graduation-set-10.jpg;dundee-university-masters-graduation-set-1.png,templates/Dundee University/Masters/board.png
Dundee University,Bachelors,dundee-university-bachelors-graduation-set-1.jpg,templates/Dundee University/Bachelors/board.png
Durham University,Masters,durham-university-first-degree-masters-graduation-set-1.jpg,templates/Durham University/Masters/board.png
Durham University,Bachelors,durham-university-bachelors-graduation-set-1.jpg,templates/Durham University/Bachelors/board.png
Edge Hill University,Masters,edge-hill-postgraduate-certificate-and-diploma-graduation-set-1.png,templates/Edge Hill University/Masters/board.png
Edge Hill University,Bachelors,edge-hill-university-bachelors-graduation-set-1.jpg,templates/Edge Hill University/Bachelors/board.png
Edinburgh Napier University,Masters,edinburgh-napier-university-masters-graduation-set-1.jpg,templates/Edinburgh Napier University/Masters/board.png
Edinburgh Napier University,Bachelors,edinburgh-napier-university-bachelors-graduation-set-1.jpg,templates/Edinburgh Napier University/Bachelors/board.png
Edinburgh University,Masters,edinburgh-university-masters-graduation-set-1.jpg,templates/Edinburgh University/Masters/board.png
Edinburgh University,Bachelors,edinburgh-university-bachelors-graduation-set-1.jpg,templates/Edinburgh University/Bachelors/board.png
Essex University,Masters,university-of-essex-masters-graduation-set-1.jpg,templates/Essex University/Masters/board.png
Essex University,Bachelors,university-of-essex-bachelors-graduation-set-1.png,templates/Essex University/Bachelors/board.png
Exeter University,Masters,exeter-university-masters-graduation-set-1.jpg,templates/Exeter University/Masters/board.png
Exeter University,Bachelors,exeter-university-bachelors-graduation-set-1.jpg,templates/Exeter University/Bachelors/board.png
Fairfield School of Business,Masters,bath-spa-masters-graduation-set-1.jpg,templates/Fairfield School of Business/Masters/board.png
Fairfield School of Business,Bachelors,bath-spa-bachelor-graduation-set-1.jpg,templates/Fairfield School of Business/Bachelors/board.png
Falmouth University,Bachelors,falmouth-university-bachelors-graduation-set-1.jpg,templates/Falmouth University/Bachelors/board.png
Glasgow Caledonian University,Masters,glasgow-caledonian-university-masters-graduation-set-1.jpg,templates/Glasgow Caledonian University/Masters/board.png
Glasgow Caledonian University,Bachelors,glasgow-caledonian-university-bachelors-graduation-set-1.jpg,templates/Glasgow Caledonian University/Bachelors/board.png
Glasgow University,Masters,university-of-glasgow-masters-graduation-set-1.jpg,templates/Glasgow University/Masters/board.png
Glasgow University,Bachelors,university-of-glasgow-bachelors-graduation-set-1.jpg,templates/Glasgow University/Bachelors/board.png
Gloucestershire University,Masters,university-of-gloucestershire-masters-graduation-set-1.jpg,templates/Gloucestershire University/Masters/board.png
Gloucestershire University,Bachelors,university-of-gloucestershire-bachelors-graduation-set-1.jpg,templates/Gloucestershire University/Bachelors/board.png
"Goldsmiths, University of London",Masters,university-of-london-masters-graduation-set-1.jpg,"templates/Goldsmiths, University of London/Masters/board.png"
"Goldsmiths, University of London",Bachelors,university-of-london-bachelors-graduation-set-1.jpg,"templates/Goldsmiths, University of London/Bachelors/board.png"
Grimsby Institute of Higher Education,Bachelors,grimsby-institute-bachelors-graduation-set-1.jpg,templates/Grimsby Institute of Higher Education/Bachelors/board.png
